matters_now,source,brand,slug,one_time_use,max_cards_per_order,works_online,spend_scope
no (BuyHatke sells 1 per checkout),buyhatke,BGMI UniPin,bgmi-unipin-gift-card,yes,,yes,UniPin India website only
no (BuyHatke sells 1 per checkout),buyhatke,Bhima Jewellers Coin In Store,bhima-jewellers-coin-(in-store)-gift-card,yes,,no,"Purchase of gold, silver, and platinum jewellery only"
no (BuyHatke sells 1 per checkout),buyhatke,BIRYANI BY KILO,biryani-by-kilo-gift-card,not_stated,,yes,Delivery/take away orders placed through the BBK website & APP only
no (BuyHatke sells 1 per checkout),buyhatke,Blissclub,blissclub-gift-card,no,,yes,www.blissclub.com only
no (BuyHatke sells 1 per checkout),buyhatke,Boat,boat-gift-card,not_stated,,yes,"https://www.boat-lifestyle.com only, in India"
no (BuyHatke sells 1 per checkout),buyhatke,Boditive,boditive-gift-card,not_stated,,yes,Eligible goods and services on https://www.boditive.com
no (BuyHatke sells 1 per checkout),buyhatke,Body Craft Clinic,body-craft-clinic-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,BrainGymJr,braingymjr-gift-card,yes,,yes,BrainGymJr Plan subscriptions on www.BrainGymJr.com or their Android app
no (BuyHatke sells 1 per checkout),buyhatke,Brooks Brothers Luxe,brooks-brothers-luxe-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Cafe Coffee Day,cafe-coffee-day-gift-card,not_stated,,yes,"Food and Beverage, Merchandise"
no (BuyHatke sells 1 per checkout),buyhatke,CaratLane,caratlane-gift-card,not_stated,,yes,Diamond Jewellery and Shaya Silver Jewellery
no (BuyHatke sells 1 per checkout),buyhatke,CGH Earth,cgh-earth-gift-card,no,,yes,Room bookings on prior reservation basis at participating CGH Earth properties only
no (BuyHatke sells 1 per checkout),buyhatke,CGH Earth In Store,cgh-earth-(in-store)-gift-card,no,,no,Room bookings on a prior reservation basis at participating CGH Earth properties only
no (BuyHatke sells 1 per checkout),buyhatke,Chemist At Play,chemist-at-play-gift-card,not_stated,,yes,https://innovist.com/ website only
no (BuyHatke sells 1 per checkout),buyhatke,Chicago Pizza In Store,chicago-pizza-(in-store)-gift-card,not_stated,,no,Takeaway/Dine in only
no (BuyHatke sells 1 per checkout),buyhatke,Chicco,chicco-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Chunmun In Store,chunmun-(in-store)-gift-card,yes,,no,"Purchase of Garments & Gifts only, on MRP only"
no (BuyHatke sells 1 per checkout),buyhatke,Cinepolis,cinepolis-gift-card,not_stated,,yes,"Transactions on the web and app of Cinepolis, for cinemas listed on Cinépolis digital channels"
no (BuyHatke sells 1 per checkout),buyhatke,Citizen Watches,citizen-watches-gift-card,no,,yes,www.citizenwatches.co.in website only
no (BuyHatke sells 1 per checkout),buyhatke,CLAYCO,clayco-gift-card,no,,yes,clayco.in website only
no (BuyHatke sells 1 per checkout),buyhatke,Credit Masterclass,credit-masterclass-gift-card,not_stated,,yes,"Only the redirected link https://rb.gy/er3zm4, via Hubble"
no (BuyHatke sells 1 per checkout),buyhatke,CultFit,cultfit-gift-card,no,,yes,Cult fitness services (memberships) on the Cult mobile application only
no (BuyHatke sells 1 per checkout),buyhatke,DANUBE BUILDMART,danube-buildmart-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Decathlon,decathlon-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Discord,discord-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Discovery,discovery-gift-card,not_stated,,yes,"One-year discovery+ subscription for new subscribers only, activated on the website"
no (BuyHatke sells 1 per checkout),buyhatke,Discovery Plus,discovery-plus-gift-card,yes,,yes,"1-year Discovery+ Premium subscription at www.discoveryplus.in or the Discovery+ Android app, new subscribers only"
no (BuyHatke sells 1 per checkout),buyhatke,District,district-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Dominos,dominos-gift-card,no,,yes,"DELIVERY, DINE-IN, TAKEAWAY AND DRIVE N PICK orders via the Domino’s Mobile App and Website"
no (BuyHatke sells 1 per checkout),buyhatke,easybuy In Store,easybuy-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Elivaas,elivaas-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Epic On 1 month Plan,epic-on-1-month-plan-gift-card,yes,,yes,"EPIC ON subscription only, and each code is valid only for the specific subscription pack it was issued for"
no (BuyHatke sells 1 per checkout),buyhatke,Epic On 1 Year Plan,epic-on-1-year-plan-gift-card,not_stated,,yes,EPIC ON premium subscription for 1 year
no (BuyHatke sells 1 per checkout),buyhatke,Epic On 3 month Plan,epic-on-3-month-plan-gift-card,yes,,yes,"EPIC ON subscription only, and each code is valid only for the specific subscription pack it was issued for"
no (BuyHatke sells 1 per checkout),buyhatke,Epic On 6 month Plan,epic-on-6-month-plan-gift-card,yes,,yes,"EPIC ON subscription only, and each code is valid only for the specific subscription pack it was issued for"
no (BuyHatke sells 1 per checkout),buyhatke,ET Prime,et-prime-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Euphoria Diamond Jewellery,euphoria-diamond-jewellery-gift-card,yes,,yes,Diamond Jewellery products only
no (BuyHatke sells 1 per checkout),buyhatke,Euphoria Gold Coin,euphoria-gold-coin-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Euphoria Gold Jewellery,euphoria-gold-jewellery-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Euphoria Jewellery,euphoria-jewellery-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Finusmart,finusmart-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,FirstCry,firstcry-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Flipkart,flipkart-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Foxtale,foxtale-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Freecultr,freecultr-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,French Accent,french-accent-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,FreshMenu,freshmenu-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Frido,frido-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Gaana,gaana-gift-card,yes,,yes,Gaana Plus premium subscription only
no (BuyHatke sells 1 per checkout),buyhatke,GIVA Gold Jewellery,giva-gold-jewellery-gift-card,no,,yes,Gold-Diamond Jewellery and Silver Diamond Jewellery only
no (BuyHatke sells 1 per checkout),buyhatke,Giva Jewellery RDM,giva-jewellery-rdm-gift-card,no,,yes,"Silver Jewellery, Perfumes, and Candles only"
no (BuyHatke sells 1 per checkout),buyhatke,GoBaby Travel,gobaby-travel-gift-card,not_stated,,yes,Applicable on respective service categories only
no (BuyHatke sells 1 per checkout),buyhatke,Google Play,google-play-gift-card,not_stated,,yes,"Apps, games, digital content, and in-app items on the Google Play Store"
no (BuyHatke sells 1 per checkout),buyhatke,GRT Jewellers In Store,grt-jewellers-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Hamleys (In Store),hamleys-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Hammer,hammer-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Haute Sauce,haute-sauce-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Helios In Store 1 Day Wait,helios-(in-store%2C-1-day-wait)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Hidesign,hidesign-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Hidesign In Store,hidesign-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Home,home-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,HopInTown Plus,hopintown-plus-gift-card,not_stated,,yes,HopInTown 1 year membership only
no (BuyHatke sells 1 per checkout),buyhatke,Hopscotch,hopscotch-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Hyatt (In Store),hyatt-(in-store)-gift-card,yes,,no,Eligible purchases at participating Hyatt hotels in India
no (BuyHatke sells 1 per checkout),buyhatke,Ikea,ikea-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Innovist,innovist-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Instafab Plus,instafab-plus-gift-card,not_stated,,yes,www.instafabplus.com only
no (BuyHatke sells 1 per checkout),buyhatke,IOCL In Store,iocl-(in-store)-gift-card,yes,,no,Fuel purchase (Petrol/XP95/XG/diesel & XP100) at IOCL Retail outlets only
no (BuyHatke sells 1 per checkout),buyhatke,ITC Hotels Fabelle Chocolates In Store,itc-hotels-fabelle-chocolates-(in-store)-gift-card,not_stated,,no,"Stays (room & incidental charges), food & beverages, home deliveries & takeaways, spa services (resident guests only), Fabelle Boutiques and applicable taxes at participating hotels"
no (BuyHatke sells 1 per checkout),buyhatke,ITC Hotels In Store,itc-hotels-(in-store)-gift-card,not_stated,,no,"Stays (room & incidental charges), food & beverages, home deliveries & takeaways, spa services (resident guests only), Fabelle Boutiques and applicable taxes at participating hotels"
no (BuyHatke sells 1 per checkout),buyhatke,ITC Hotels Spa In Store,itc-hotels-spa-(in-store)-gift-card,not_stated,,no,"Stays (room & incidental charges), food & beverages, home deliveries & takeaways, spa services (resident guests only), Fabelle Boutiques and applicable taxes at participating hotels"
no (BuyHatke sells 1 per checkout),buyhatke,JACK JONES (In Store),jack-jones-(in-store)-gift-card,yes,,no,Exclusive brand JACK&JONES stores in India
no (BuyHatke sells 1 per checkout),buyhatke,JioHotstar,jiohotstar-gift-card,yes,,yes,"JioHotstar subscription, redeemed at https://www.jiohotstar.com/in/redeem"
no (BuyHatke sells 1 per checkout),buyhatke,Jockey,jockey-gift-card,yes,,yes,www.jockey.in website only
no (BuyHatke sells 1 per checkout),buyhatke,Joyalukkas Gold and Diamond 12 Hr Wait,joyalukkas-gold-and-diamond-(12-hr-wait)-gift-card,no,,yes,Jewellery only
no (BuyHatke sells 1 per checkout),buyhatke,Joyalukkas Pure Gold In Store,joyalukkas-pure-gold-(in-store)-gift-card,no,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Jungle Safari,jungle-safari-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Just Lil Things,just-lil-things-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Kalyan Gold Jewellery (In Store),kalyan-gold-jewellery-(in-store)-gift-card,yes,,no,Any Jewellery at Kalyan Jewellers Stores in India
no (BuyHatke sells 1 per checkout),buyhatke,Kate Spade Luxe,kate-spade-luxe-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Kiehls In Store,kiehls-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Kuku FM,kuku-fm-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Lawrence and Mayo In Store,lawrence-and-mayo-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Levis In Store,levis-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Liberty,liberty-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,"Liberty (In Store, 3 Day Wait)",liberty-(in-store%2C-3-day-wait)-gift-card,no,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Liberty In Store,liberty-(in-store)-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Liberty Offline In Store,liberty-offline-(in-store)-gift-card,no,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Linen Club In Store,linen-club-(in-store)-gift-card,yes,,no,Valid on MRP sale only
no (BuyHatke sells 1 per checkout),buyhatke,LIONSGATE PLAY,lionsgate-play-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Live Mint,live-mint-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,LOCCITANE,loccitane-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Lohono Stays,lohono-stays-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Lulu Hypermarket,lulu-hypermarket-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Makhani Darbar,makhani-darbar-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Malabar Gold Coin,malabar-gold-coin-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Malabar Jewellery,malabar-jewellery-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Mamaearth,mamaearth-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Mango In Store,mango-(in-store)-gift-card,not_stated,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Maple,maple-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Marks and Spencer In Store,marks-and-spencer-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Marriott Dining In Store,marriott-dining-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Marriott E Dining In Store,marriott-e-dining-(in-store)-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Marriott Hotels In Store,marriott-hotels-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Marriott SPA In Store,marriott-spa-(in-store)-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Matrix,matrix-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Max Fashion In Store,max-fashion-(in-store)-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,McDonalds In Store,mcdonalds-(in-store)-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,McDonalds McCafe (In Store),mcdonalds-mccafe-(in-store)-gift-card,no,,no,"8 cups of beverages from the McCafe menu (Cappuccino, Vietnamese Iced Coffee, Americano, Iced Americano, Latte, Iced Latte, Peach Iced Tea, Watermelon Coolers)"
no (BuyHatke sells 1 per checkout),buyhatke,Me N Moms,me-n-moms-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Medibuddy Gold,medibuddy-gold-gift-card,yes,,yes,Unlimited doctor consultations for you and your family for 1 year
no (BuyHatke sells 1 per checkout),buyhatke,Mia By Tanishq In Store,mia-by-tanishq-(in-store)-gift-card,yes,,no,Mia Studded Products only
no (BuyHatke sells 1 per checkout),buyhatke,Microsoft Xbox Game Pass Core,microsoft-xbox-game-pass-core-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Milkbasket,milkbasket-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Milton,milton-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Minecraft Minecoins,minecraft-minecoins-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,MiniKlub,miniklub-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Miraggio,miraggio-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Moba Legends,moba-legends-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Muro In Store,muro-(in-store)-gift-card,not_stated,,no,"Dine-in only, at Muro Outlet, Bangalore"
