brand,sellers,listing_active,where_voucher_works,website,how_confirmed,notes
BIBA,buyhatke + gyftr,yes,website,biba.in,extension list (#26),
BigBasket,buyhatke + gyftr + maximize,yes,website,bigbasket.com,extension list (#26),
Bikanervala,maximize,yes,store only,bikanervala.com,page loaded and checked 2026-09-17,
Bikanervala In Store,buyhatke,yes,store only,bikanervala.com,page loaded and checked 2026-09-17,
Birkenstock,buyhatke + maximize,yes,website,birkenstock.in,extension list (#26),
Black Decker,buyhatke,yes,website,appliancesblackanddecker.in,extension list (#26),
Blaupunkt,buyhatke + maximize,yes,website,blaupunkt.com,extension list (#26),
Blinkit,buyhatke + maximize,yes,website,blinkit.com,same brand on record (Blinkit Gift Card),
Blinkit Gift Card,gyftr,yes,website,blinkit.com,extension list (#26),
Blissclub,buyhatke + gyftr + maximize,yes,website,blissclub.com,extension list (#26),
Blue Tokai Coffe,maximize,yes,website,bluetokaicoffee.com,web search + terms: bluetokaicoffee.com,
Blue Tokai Coffee,buyhatke,yes,website,bluetokaicoffee.com,extension list (#26),
BlueStone Diamond,maximize,yes,website,bluestone.com,confirmed 2026-09-10: auto: name in address,
Bo TAi,gyftr,yes,store only,massiverestaurants.com,web search 2026-09-17,a Massive Restaurants brand; botai.in is an unrelated AI company
Boat,buyhatke + maximize,yes,website,boat-lifestyle.com,extension list (#26),
Bobbi Brown,gyftr,yes,store only,bobbibrown.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Boditive,buyhatke + maximize,yes,website,boditive.com,extension list (#26),
Body Craft (Clinic),maximize,yes,store only,bodycraft.co.in,page loaded and checked 2026-09-17,
Body Craft (Salon),maximize,yes,store only,bodycraft.co.in,page loaded and checked 2026-09-17,
Body Craft In Store,buyhatke,yes,store only,bodycraft.co.in,page loaded and checked 2026-09-17,
BookMyShow,buyhatke + maximize,yes,website,bookmyshow.com,extension list (#26),
Bottega Veneta Luxe In Store,buyhatke,yes,store only,bottegaveneta.com,"site exists, blocks automatic visits (checked 2026-09-17)",
BOTTEGA VENETA- Luxe Gift Card,gyftr,no,store only,bottegaveneta.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Bounce - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
BPCL,buyhatke,yes,app only,bharatpetroleum.in,"web search: bharatpetroleum.in; terms: added in HelloBPCL app, used at petrol pumps",
BPCL SmartDrive Fuel,maximize,yes,store only,bharatpetroleum.in,page loaded and checked 2026-09-17,
BPCL SmartDrive Fuel e-voucher,gyftr,no,store only,bharatpetroleum.in,page loaded and checked 2026-09-17,
BrainGymJr,buyhatke + gyftr,yes,website,braingymjr.com,extension list (#26),
BrainGymJr Gift Voucher,maximize,yes,website,braingymjr.com,confirmed 2026-09-10: auto: name in address,
Brooks Brothers -Luxe Gift Card,gyftr,no,website,brooksbrothers.in,extension list (#26),
Brooks Brothers Luxe In Store,buyhatke,yes,store only,brooksbrothers.in,page loaded and checked 2026-09-17,
Brooks Brothers-Luxe,buyhatke + maximize,yes,store only,brooksbrothers.in,"Luxe card works online only on 8 brand sites (luxegiftcard.com/terms-and-conditions); this brand is not one, so stores only",
Bubbles - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
BuyWithEMI,buyhatke + maximize,yes,website,buywithemi.com,extension list (#26),
Cafe Coffee Day,buyhatke,yes,website,cafecoffeeday.com,web search: cafecoffeeday.com; terms: card number shared at store billing or website checkout,
Cafe Delhi Heights,gyftr,yes,store only,cafedelhiheights.com,page loaded and checked 2026-09-17,
Cafe Delhi Heights In Store,buyhatke,yes,store only,cafedelhiheights.com,page loaded and checked 2026-09-17,
CAHOOT,gyftr,yes,website,cahoot.in,extension list (#26),
Call it Spring,gyftr + maximize,yes,store only,aldoshoes.in,web search 2026-09-17,run by ALDO in India (aldoshoes.in/call-it-spring-page); callitspringindia.co.in looks like a lookalike
CALL IT SPRING In Store,buyhatke,yes,store only,aldoshoes.in,web search 2026-09-17,run by ALDO in India (aldoshoes.in/call-it-spring-page); callitspringindia.co.in looks like a lookalike
Campus,gyftr + maximize,yes,website,campusshoes.com,extension list (#26),
Campus In Store,buyhatke,yes,store only,campusshoes.com,page loaded and checked 2026-09-17,
Canali Luxe In Store,buyhatke,yes,store only,canali.com,page loaded and checked 2026-09-17,
Canali- Luxe Gift Card,gyftr,yes,store only,canali.com,page loaded and checked 2026-09-17,
Candere Diamond Jewellery,buyhatke + gyftr + maximize,yes,website,candere.com,confirmed 2026-09-10: auto: name in address,
Candere Gold Coin,buyhatke + gyftr + maximize,yes,website,candere.com,extension list (#26),
Candere Gold Jewellery,buyhatke + gyftr + maximize,yes,website,candere.com,confirmed 2026-09-10: auto: name in address,
CaratLane,buyhatke,yes,website,caratlane.com,extension list (#26),
Cello,buyhatke + gyftr,yes,website,celloworld.com,extension list (#26),
CGH Earth,buyhatke + maximize,yes,website,cghearth.com,extension list (#26),
CGH Earth In Store,buyhatke,yes,store only,cghearth.com,page loaded and checked 2026-09-17,
CHARLES & KEITH,gyftr,yes,store only,charleskeith.in,page loaded and checked 2026-09-17,
Charles and Keith,buyhatke + maximize,yes,store only,charleskeith.in,"web search: charleskeith.in is official (charlesandkeithindia.co.in, charles-keith.in, charlesandkeithsindia.com are lookalikes); brand's terms: accepted at listed Inglot / Victoria's Secret / Bath & Body Works / R&B stores; Gyftr: CANNOT be used online",
CHARLES KEITH In Store,buyhatke,yes,store only,charleskeith.in,page loaded and checked 2026-09-17,
Charles Tyrwhitt Luxe In Store,buyhatke,yes,store only,charlestyrwhitt.com,page loaded and checked 2026-09-17,
CHARLES TYRWHITT- Luxe Gift Card,gyftr,yes,store only,charlestyrwhitt.com,page loaded and checked 2026-09-17,
Chicago Pizza,gyftr,no,store only,chicagopizza.in,web search 2026-09-17,
Chicago Pizza In Store,buyhatke,yes,store only,chicagopizza.in,web search 2026-09-17,
Chicco,buyhatke,yes,website,chicco.in,extension list (#26),
Chumbak,gyftr + maximize,yes,store only,chumbak.com,page loaded and checked 2026-09-17,
Chumbak In Store,buyhatke,yes,store only,chumbak.com,page loaded and checked 2026-09-17,
Chunmun In Store,buyhatke,yes,store only,chunmun.com,page loaded and checked 2026-09-17,
Cinepolis,buyhatke + gyftr + maximize,yes,website,cinepolisindia.com,extension list (#26),
Citizen Watches,buyhatke + gyftr + maximize,yes,website,citizenwatches.co.in,extension list (#26),
CLAYCO,buyhatke + gyftr,yes,website,clayco.in,extension list (#26),
Cleartax,buyhatke + gyftr + maximize,yes,website,cleartax.in,extension list (#26),
Cleartrip,buyhatke + gyftr + maximize,yes,website,cleartrip.com,extension list (#26),
Cleartrip Hotel,gyftr,yes,website,cleartrip.com,confirmed 2026-09-10: auto: name in address,
Cleartrip Hotels,maximize,yes,website,cleartrip.com,confirmed 2026-09-10: auto: name in address,
Cloud tailor,buyhatke,yes,website,cloudtailor.in,extension list (#26),
Clovia,gyftr,no,website,clovia.com,extension list (#26),
Coach Luxe,buyhatke,yes,store only,,"Luxe card works online only on 8 brand sites (luxegiftcard.com/terms-and-conditions); this brand is not one, so stores only",
Coach luxe In Store,buyhatke,no,store only,coach.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Coach-Luxe Gift Card,gyftr,no,store only,coach.com,"site exists, blocks automatic visits (checked 2026-09-17)",
ColorPlus,gyftr + maximize,yes,store only,myraymond.com,web search 2026-09-17,Raymond's shop for ColorPlus
ColorPlus In Store,buyhatke,yes,store only,myraymond.com,web search 2026-09-17,Raymond's shop for ColorPlus
Columbia Sportswear,gyftr + maximize,yes,store only,columbiasportswear.co.in,page loaded and checked 2026-09-17,
Cordelia,gyftr,yes,website,cordeliacruises.com,extension list (#26),
Cordelia Cruises,maximize,yes,website,cordeliacruises.com,confirmed 2026-09-10: auto: name in address,
Cosmopolitan India,maximize,yes,website,cosmopolitan.in,extension list (#26),
Cosmus,buyhatke,yes,website,cosmus.in,extension list (#26),
Costa Coffee,gyftr + maximize,yes,store only,costacoffee.in,site did not answer an automatic visit (2026-09-17),
Costa Coffee In Store,buyhatke,yes,store only,costacoffee.in,site did not answer an automatic visit (2026-09-17),
Croma,buyhatke + gyftr + maximize,yes,website,croma.com,extension list (#26),
Crossword,buyhatke + gyftr + maximize,yes,website,crossword.in,extension list (#26),
Cult,maximize,no,website,cult.fit,extension list (#26),
Cult Gift Card,gyftr,yes,website,cult.fit,verified in Aug 2026 audit,
Cut & Style - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
Daily Objects,buyhatke + gyftr + maximize,yes,website,dailyobjects.com,extension list (#26),
DANUBE BUILDMART,buyhatke,yes,website,danubehome.com,extension list (#26),
Decathlon,buyhatke + gyftr + maximize,yes,website,decathlon.in,extension list (#26),
Decathlon - Fixed,maximize,yes,website,decathlon.in,confirmed 2026-09-10: auto: name in address,
DeVagabond,buyhatke,yes,website,devagabond.com,web search + page loaded 2026-09-17,devagbond.com (a misspelling in the seller's terms) does not exist
DIESEL Luxe In Store,buyhatke,yes,store only,dieselindia.com,page loaded and checked 2026-09-17,
Diesel- Luxe Gift Card,gyftr,yes,website,dieselindia.com,extension list (#26),
Discord,gyftr + maximize,yes,website,discord.com,extension list (#26),
Discovery,buyhatke,yes,website,discoveryplus.in,extension list (#26),
Discovery Plus,buyhatke + gyftr + maximize,yes,website,discoveryplus.in,confirmed 2026-09-10: auto: name in address,
District,buyhatke + maximize,yes,website,district.in,extension list (#26),
District Pass,buyhatke,yes,website,district.in,web search: district.in (District by Zomato); terms: District app and website,
DocuBay,gyftr,no,website,docubay.com,extension list (#26),
DOMINO'S,buyhatke + gyftr + maximize,yes,website,dominos.co.in,extension list (#26),
Donatekart,buyhatke + maximize,yes,website,donatekart.com,extension list (#26),
DPauls,buyhatke + maximize,yes,website,dpauls.com,extension list (#26),
DPauls Travel & Tours,gyftr,no,website,dpauls.com,confirmed 2026-09-10: auto: name in address,
DreamFolks Club Membership,gyftr,no,store only,dreamfolks.com,page loaded and checked 2026-09-17,
Dune London Luxe In Store,buyhatke,yes,store only,dunelondon.com,page loaded and checked 2026-09-17,
Dune London-Luxe,maximize,yes,store only,,"Luxe card works online only on 8 brand sites (luxegiftcard.com/terms-and-conditions); this brand is not one, so stores only",
Dune-Luxe Gift Card,gyftr,no,store only,dunelondon.com,page loaded and checked 2026-09-17,
DUROFLEX,buyhatke + gyftr + maximize,yes,website,duroflexworld.com,extension list (#26),
EA Sports,maximize,no,website,ea.com,verified in Aug 2026 audit,
EA SPORTS FC 26,gyftr,yes,website,ea.com,extension list (#26),
EA-7- Luxe Gift Card,gyftr,yes,store only,armani.com,page loaded and checked 2026-09-17,
EA7 In Store,buyhatke,yes,store only,armani.com,page loaded and checked 2026-09-17,
EaseMyTrip,buyhatke + maximize,yes,website,easemytrip.com,extension list (#26),
EaseMyTrip Holiday,buyhatke + gyftr + maximize,yes,website,easemytrip.com,confirmed 2026-09-10: auto: name in address,
EaseMyTrip Hotel,buyhatke + maximize,yes,website,easemytrip.com,confirmed 2026-09-10: auto: name in address,
EasyBuy,gyftr,yes,store only,easybuyindia.com,web search 2026-09-17,Landmark Group
easybuy In Store,buyhatke,yes,store only,easybuyindia.com,web search 2026-09-17,Landmark Group
EatSure,buyhatke + gyftr + maximize,yes,website,eatsure.com,extension list (#26),
EazyDiner,buyhatke + gyftr,no,website,b.ezyd.in,extension list (#26),
Electricity Bill Payment,gyftr,no,not a shop,,"bill payment / recharge, not a shop (inactive)",
Elivaas,gyftr + maximize,yes,website,elivaas.com,extension list (#26),
Elleven,gyftr + maximize,yes,store only,elleven.in,page loaded and checked 2026-09-17,
Elleven In Store,buyhatke,yes,store only,elleven.in,page loaded and checked 2026-09-17,
Elver,buyhatke + maximize,yes,website,elver.in,extension list (#26),
Emporio Armani Luxe In Store,buyhatke,yes,store only,armani.com,page loaded and checked 2026-09-17,
Emporio Armani- Luxe Gift Card,gyftr,yes,store only,armani.com,page loaded and checked 2026-09-17,
Enrich - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
Epic On 1 Year Plan,buyhatke,yes,website,epicon.in,extension list (#26),
Esbeda In Store,buyhatke,yes,store only,esbeda.com,page loaded and checked 2026-09-17,
Estele,buyhatke + gyftr + maximize,yes,website,estele.co,extension list (#26),
Estuary World,maximize,yes,website,estuaryworld.co.in,extension list (#26),
Euphoria Diamond,maximize,yes,website,euphoriajewellery.in,extension list (#26),
Euphoria Diamond Jewellery,buyhatke,yes,website,euphoriajewellery.in,confirmed 2026-09-10: auto: name in address,
Euphoria Gold Coin,buyhatke + maximize,yes,website,euphoriajewellery.in,confirmed 2026-09-10: auto: name in address,
Euphoria Gold Jewellery,buyhatke,yes,website,euphoriajewellery.in,confirmed 2026-09-10: auto: name in address,
Euphoria Jewellery Gold Coin,buyhatke + gyftr,yes,website,euphoriajewellery.in,confirmed 2026-09-10: auto: name in address,
Euphoria Jewellery Silver Coin,buyhatke + gyftr + maximize,yes,website,euphoriajewellery.in,confirmed 2026-09-10: auto: name in address,
Euphoria Silver Coin,buyhatke,yes,website,euphoriajewellery.in,confirmed 2026-09-10: auto: name in address,
ExitLag,gyftr,no,website,exitlag.com,extension list (#26),
Faasos,buyhatke + gyftr + maximize,yes,website,faasos.com,extension list (#26),
Fab Hotels,buyhatke + gyftr,yes,website,fabhotels.com,extension list (#26),
Farzi Cafe,gyftr,yes,store only,farzicafe.com,page loaded and checked 2026-09-17,
Fashion Factory,gyftr + maximize,yes,store only,relianceretail.com,web search 2026-09-17,Reliance store format; fashionfactory.in is dead
Fashion Factory In Store,buyhatke,yes,store only,relianceretail.com,web search 2026-09-17,Reliance store format; fashionfactory.in is dead
Fastag Recharge,gyftr,no,not a shop,,"bill payment / recharge, not a shop (inactive)",
Fastrack,gyftr + maximize,yes,website,titan.co.in,Maximize terms: redeemable online at Titan website; Gyftr's listing is stores only; titan.co.in confirmed by hand 2026-09-10,
Fastrack 1 Day Wait,buyhatke,yes,website,titan.co.in,same as Fastrack; titan.co.in confirmed by hand 2026-09-10,
Fastrack Bags,gyftr + maximize,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Fastrack Bags In Store,buyhatke,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Fastrack Bags In Store 3 Day Wait,buyhatke,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Fastrack In Store,buyhatke,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Fastrack In Store 1 Day Wait,buyhatke,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Fastrack SmartWatch,maximize,yes,website,titan.co.in,same as Fastrack; titan.co.in confirmed by hand 2026-09-10,
Fastrack SmartWatch 8 Hr Wait,buyhatke,yes,website,titan.co.in,same as Fastrack; titan.co.in confirmed by hand 2026-09-10,
Fastrack Smartwatches,gyftr,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Femmella,buyhatke + gyftr + maximize,yes,website,femmella.com,extension list (#26),
Ferns N Petals,buyhatke + gyftr + maximize,yes,website,fnp.com,extension list (#26),
Ferragamo In Store,buyhatke,yes,store only,ferragamo.com,site did not answer an automatic visit (2026-09-17),
FERRAGAMO- Luxe Gift Card,gyftr,yes,store only,ferragamo.com,site did not answer an automatic visit (2026-09-17),
Finusmart,buyhatke,yes,website,finusmart.com,extension list (#26),
Firangi Bake,buyhatke,yes,app only,eatsure.com,terms: only redeemable in the EatSure iOS/Android app (a Rebel Foods brand); eatsure.com rejected as this brand's site on 2026-09-10,
FirstCry,buyhatke + gyftr + maximize,yes,website,firstcry.com,extension list (#26),
FITPASS,buyhatke + gyftr + maximize,yes,website,fitpass.co.in,extension list (#26),
Flipkart,buyhatke + gyftr + maximize,yes,website,flipkart.com,extension list (#26),
FlixBus,buyhatke + maximize,yes,website,flixbus.in,extension list (#26),
Flower Aura,buyhatke + gyftr + maximize,yes,website,floweraura.com,extension list (#26),
Forever New,buyhatke + maximize,yes,website,forevernew.co.in,extension list (#26),
Forever21,maximize,no,store only,forever21.in,page loaded and checked 2026-09-17,
Forever21 In Store,buyhatke,no,store only,forever21.in,page loaded and checked 2026-09-17,
Foxtale,buyhatke + gyftr + maximize,yes,website,foxtale.in,extension list (#26),
Freecultr,buyhatke + gyftr + maximize,yes,website,freecultr.com,extension list (#26),
French Accent,buyhatke + gyftr,yes,website,getfrenchaccent.com,extension list (#26),
FreshMenu,buyhatke + maximize,yes,website,freshmenu.com,extension list (#26),
Fricken,buyhatke,yes,app only,eatsure.com,terms: only redeemable in the EatSure iOS/Android app (a Rebel Foods brand); eatsure.com rejected as this brand's site on 2026-09-10,
FRIDO,buyhatke + gyftr + maximize,yes,website,myfrido.com,extension list (#26),
Funblock In Store,buyhatke,yes,store only,funblock.in,page loaded and checked 2026-09-17,
Funcity,maximize,yes,store only,funcity.in,page loaded and checked 2026-09-17,
Funcity In Store,buyhatke,yes,store only,funcity.in,page loaded and checked 2026-09-17,
FUTURE WORLD - APPLE RESELLER,gyftr + maximize,yes,website,futureworldindia.co.in,extension list (#26),
Future World Apple,buyhatke,yes,website,futureworldindia.in,extension list (#26),
Future World In Store,buyhatke,yes,store only,futureworldindia.in,page loaded and checked 2026-09-17,
G Star Raw In Store,buyhatke,yes,store only,g-star.com,page loaded and checked 2026-09-17,
Gaana,buyhatke + gyftr,yes,website,gaana.com,extension list (#26),
Gas Bill Payment,gyftr,no,not a shop,,"bill payment / recharge, not a shop (inactive)",
Gas Luxe In Store,buyhatke,yes,store only,gasjeans.in,page loaded and checked 2026-09-17,
Gas-Luxe,maximize,yes,website,gasjeans.in,"Luxe card terms (luxegiftcard.com/terms-and-conditions) list 8 brand sites where it works online: superdry.in, stevemadden.in, mothercare.in, gasjeans.in, dieselindia.com, armaniexchange.in, muji.in, sunglasshut.in (Aug audit had gasjeans.com; Luxe names gasjeans.in)",
GAS-Luxe Gift Card,gyftr,no,website,gasjeans.com,extension list (#26),
Geetanjali - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
Giorgio Armani Luxe In Store,buyhatke,yes,store only,armani.com,page loaded and checked 2026-09-17,
Giorgio Armani- Luxe Gift Card,gyftr,yes,store only,armani.com,page loaded and checked 2026-09-17,
Giva Jewellery RDM,buyhatke,yes,website,giva.co,terms: GIVA website and outlets; giva.co verified in Aug 2026 audit,
Giva-Gold Jewellery,buyhatke + gyftr,yes,website,giva.co,verified in Aug 2026 audit,
Giva-Silver Coin,buyhatke + gyftr + maximize,yes,website,giva.co,extension list (#26),
Giva-Silver Jewellery,gyftr,yes,website,giva.co,confirmed 2026-09-10: auto: name in address,
Glam Studio In Store,buyhatke,yes,store only,glamstudios.in,voucher terms,
Glam Studios,maximize,yes,store only,glamstudios.in,voucher terms,
GoBaby Travel,buyhatke,yes,website,gobabytravel.com,extension list (#26),
Goibibo,buyhatke,yes,website,goibibo.com,extension list (#26),
