Brand Name,Slug,Redemption Type,Discount % (Credit/Debit Card),Discount % (Net Banking),Discount % (UPI),Discount % (Paytm UPI),Discount % (Amazon Pay),Denominations Available,Online/Offline,How to Redeem,T&Cs Summary
MUJI- Luxe Gift Card,muji,B,0,0,0,,0,1000 / 2000 / 5000 / 10000,Both,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
VILLEROY AND BOCH- Luxe Gift Card,villeroy-and-boch,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
WEST ELM- Luxe Gift Card,west-elm,B,0,0,0,,0,1000 / 2000 / 5000 / 10000,Both,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
TODS- Luxe Gift Card,tods,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
RITU KUMAR- Luxe Gift Card,ritu-kumar,B,0,0,0,,0,1000 / 2000 / 5000 / 10000,Both,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
Abraham & Thakore- Luxe Gift Card,abraham-and-thakore,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,"Gift Vouchers are ACCEPTED at Listed Abraham & Thakore Outlets. Gift Vouchers CANNOT be used on the official Abraham & Thakore website. Gift Vouchers CAN also be used online on Armani Exchange, Steve Madden, Diesel India, Superdry, Mothercare India, GAS, Sunglass Hut India, Muji, Hamleys, Satya Paul, Brooks Brothers, Hunkemoller, Tumi, Pottery Barn, West Elm, Ritu Kumar. Gift Vouchers CANNOT be used at Airport Stores. Gift Voucher CANNOT be used multiple times. Gift Vouchers CANNOT be used to buy discounted merchandise. Multiple Gift Vouchers CAN be used for one bill."
FERRAGAMO- Luxe Gift Card,ferragamo,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
TUMI- Luxe Gift Card,tumi,B,0,0,0,,0,1000 / 2000 / 5000 / 10000,Both,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
Sunglass Hut- Luxe Gift Card,sunglass-hut,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
Me N Moms,me-n-moms,ON,9,9,11,11,9,500 / 1000 / 2000 / 100-10000 (custom),Online,,The GV/e-Pay CAN only be used Online at www.menmoms.in The GV/GC cannot be used at the offline stores. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. The GV/e-Pay CAN be clubbed with existing offers.
Neemans,neemans,ON,9,9,10,10,9,500 / 1000 / 2000 / 100-10000 (custom),Online,,The GV/GC can only be redeemed on their official website: neemans.com . The GV/GC can be used over and above any discounts. Multiple Gift Vouchers CAN be combined &amp; added to the e-Pay balance.
Absolute Barbeque,absolute-barbeque,OFF,8.5,8.5,10,10,8.5,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Offline,,Gift Vouchers/e-Pay are ACCEPTED at Listed Outlets only. Gift Vouchers/e-Pay CANNOT be used Online Gift Vouchers/e-Pay CAN be clubbed with existing offers Gift Voucher CAN be used multiple times once converted to e-Pay balance. Multiple Gift Vouchers CAN be combined & added to e-Pay balance.
Klook,klook,ON,6.5,6.5,8,8,6.5,1000 / 2000 / 5000 / 7500,Online,,The GV/GC will be used on the app or website at www.klook.com . This is a one-time use GV/GC. Only one GV/GC can be used in one bill. GV/GC cannot be combined with existing offers on its website or any other promo codes.
Roblox,roblox,ON,4,4,6,6,4,,Online,,"Redeem only at www.roblox.com for Roblox credits to buy Robux or a Premium Subscription. By using this GV/GC, you (or your parent/guardian if under 18) agree to Roblox's Terms of Use . Internet access and a registered Roblox account are required for redemption. GV/GC cannot be used on App."
Subway,subway,OFF,5,5,7,7,0,100 / 250 / 500 / 750 / 1000,Offline,,The GV/GC will be used at the listed stores. The GV/GC can be used over and above any discounts. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance.
Citizen Watches,citizen-watches,ON,13,13,14,14,13,500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Online,,The GV/GC can only be redeemed on their official website: https://www.citizenwatches.store/ . The GV/GC can be used over and above any discounts. Multiple Gift Vouchers can be combined &amp; added to the e-Pay balance.
Tim Hortons,tim-hortons,OFF,7,7,8,8,7,500 / 1000,Offline,,GV/e-Pay will be accepted at participating Tim Hortons outlets. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. GV/e-Pay can be clubbed with the existing offers.
Nua Woman,nua-woman,ON,26,26,27,27,26,500 / 1000 / 2000 / 100-10000 (custom),Online,,The GV/GC can only be redeemed on their official website: https://nuawoman.com/ The GV/GC can be used over and above any discounts. Multiple Gift Vouchers can be combined &amp; added to the e-Pay balance.
Kimirica,kimirica,ON,16,16,17,17,16,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Online,,The GV/GC will be accepted on the website: www.kimirica.shop . The GV/GC can be used over and above any discounts. Multiple gift vouchers can be combined and added to the e-Pay balance.
FlixBus,flixbus,ON,11,11,13,13,11,250 / 1000 / 2000,Online,,The GV/GC will be accepted on the website: https://www.FlixBus.in/ &amp; app. The GV/GC cannot be clubbed with existing offers. The GV/GC is one-time use only. Only one GV/GC applies to a single bill.
CLAYCO,clayco,ON,20,20,22,22,20,500 / 1000 / 2000,Online,,The GV/GC will be accepted on the website: clayco.in . GV/e-Pay can be clubbed with existing offers. Multiple gift vouchers can be combined and added to the e-Pay balance.
APOLLO DIAGNOSTICS,apollo-diagnostics,ON,0,0,0,,0,500 / 1000 / 2000 / 5000,Online,,"The GV/GC is redeemable only on the mobile app & not on the website. This is a one-time use GV/GC and cannot be reused once redeemed. The GV/GC cannot be clubbed with any other voucher, coupon, or promotional offer."
ixigo hotel,ixigo-hotel,ON,0,0,0,,0,,Online,,The GV/GC can only be redeemed on the ixigo app and www.ixigo.com. This is a one-time use GV/GC. The GV/GC is valid for booking of ixigo Hotel (Domestic/International) only. Only one single GV/GC can be used in one bill/transaction. GV/GC cannot be clubbed with existing offers on the ixigo website/app.
AJIO,ajio,ON,4,4,5,5,,500 / 1000 / 2000 / 5000,Online,,Gift Voucher/Gift Card (GV/GC) can be used online on the Mobile App and the Website. This is a one-time use GV/GC. This GV/GC is non-refundable. The GV/GC CANNOT be used to buy other Gift Cards on AJIO Luxe.
Lionsgate Play,lions-gate,ON,22,22,23,23,22,799,Online,,The GV/GC will only be accepted on the website: lionsgateplay.com/paymentlanding & app. This is a one-time use GV/GC. Multiple GV/GCs cannot be clubbed. The GV/GC cannot be clubbed with ongoing offers.
IOCL,iocl,OFF,0,,0,,,500 / 1000 / 2000 / 5000,Offline,,The GV/GC will be accepted only at IOCL Retail Outlets. This is a one-time use GV/GC. Any remaining balance will be forfeited after redemption. The GV/GC can be redeemed only for fuel purchases (Petrol / XP95 / XG / Diesel / XP100) at IOCL Retail Outlets.
Yatra Hotel Gift Card,yatra-hotel-gift-card,ON,11.5,11.5,13,13,11.5,500 / 1000 / 2000 / 5000,Online,,"The GV/GC is accepted only online on the mobile application and on the website www.yatra.com . The GV/GC is valid for domestic hotel bookings only. The GV/GC is not applicable for bookings of flights, holidays, buses, Prime, or any other categories. This is a one-time use GV/GC. Any remaining balance will be forfeited after redemption. Up to three GV/GCs can be combined and used in a single transaction. This GV/GC cannot be clubbed with any other ongoing offer, discount, cashback, or promotion."
Philips,philips,ON,8.5,8.5,10,10,8.5,500 / 1000 / 2000 / 5000,Online,,The GV (Gift Voucher)/e-Pay will be accepted on the mobile app and on the website at https://domesticappliances.philips.co.in . Multiple GV/e-Pay can be combined and added to the e-Pay balance. The GV will be applicable over and above any discounts offered by the brand on their website. The GV/e-Pay can be used for all purchases of products and services on the Philips website.
Zouk,zouk,ON,11,11,13,13,,500 / 1000 / 2000 / 100-10000 (custom),Online,,Gift Vouchers/e-Pay CAN be used on the Zouk website. Gift Vouchers/e-Pay CAN be used to buy discounted products. Gift Voucher CAN be used multiple times once converted to e-Pay balance. Multiple Gift Vouchers CAN be combined & added to e-Pay balance.
Wellbeing Nutrition,wellbeing-nutrition,ON,13,13,14,14,13,500 / 1000 / 2000 / 5000 / 10-10000 (custom),Online,,GV/GC will be accepted on the website via this URL: wellbeingnutrition.com . Multiple Gift Vouchers can be combined and added to the e-Pay balance. GV/GC can be combined with ongoing offers available on the website.
DOMINO'S,dominos,ON,16,16,17,17,16,100 / 250 / 500 / 1000 / 1500 / 2000 / 2500 / 5000 / 100-10000 (custom),Online,,"The GV/e-Pay can be used only on the Domino’s India Mobile App and cannot be redeemed directly at Domino’s outlets. Multiple GVs cannot be used in one bill/transaction, however you can convert multiple EGVs to a single EGV via the Gyftr E-Pay app The GV/e-Pay cannot be combined with existing offers."
Milkbasket,milkbasket,ON,2,2,3,3,,100 / 500 / 1000 / 2000,Online,,The GV/e-Pay will be accepted on the mobile app. The GV/e-Pay can be clubbed with the existing offers. Multiple GV/GC can be combined and added to the e-Pay Balance.
Lohono Stays,lohono-stays,ON,9.5,9.5,11,11,9.5,500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Online,,"Lohono GV/e-Pay can only be redeemed online at http://www.lohono.com. Multiple GVs can be combined in one bill after converting them to e-Pay balance. The GV CAN be used partially, once converted to e-Pay balance. GV/e-Pay CAN be clubbed with deals and offers on the Lohono website."
NEXT,next,OFF,4.5,4.5,6,6,4.5,1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Offline,,GV/ e-Pay is Accepted at all Listed Outlets. GV/e-Pay can be clubbed with the existing offers. Multiple Gift Vouchers can be combined & added to the e-Pay balance.
Mango,mango,OFF,4.5,4.5,6,6,4.5,500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Offline,,GV/ e-Pay is Accepted at all Listed Outlets. GV/e-Pay can be clubbed with the existing offers. Multiple Gift Vouchers can be combined & added to the e-Pay balance.
Zoomcar,zoomcar,ON,9,9,10,9,9,500 / 1000 / 2500 / 5000,Online,,"GV/GC will be accepted only online on the Zoomcar mobile application. This is a one-time use GV/GC. The GV/GC can be clubbed with the existing offers. Multiple GV/GC can be added to the Customer’s Zoomcar Wallet, and the balance can be used partially or fully for multiple transactions."
STYLE BAAZAR,style-bazaar,OFF,4,4,6,6,4,250 / 500 / 1000 / 2000 / 100-10000 (custom),Offline,,This is a Style Baazar GV/e-Pay that will be accepted at the listed retail stores/outlets. The GV/e-Pay can be clubbed with the existing offers. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance.
Soulflower,soulflower,ON,15,15,17,17,15,500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Online,,This is a Soulflower GV/e-Pay that will be accepted on the website: soulflower.in The GV/e-Pay can be clubbed with the existing offers. The GV/e-Pay CANNOT be revalidated once expired or canceled under any circumstances.
Elivaas,elivaas,ON,11,11,13,13,11,1000 / 2000 / 2500 / 5000 / 7500 / 10000,Online,,GV/e-Pay will be accepted on the mobile app and on the website. GV/e-Pay can be clubbed with the existing offers. GV/e-Pay can be used for all purchases of products and services. GV can be converted into e-Pay as per the holder's convenience.
Palmonas,palmonas,ON,11,11,13,13,11,500 / 1000 / 2000 / 100-10000 (custom),Online,,The GV/e-Pay that will be accepted on the Palmonas website. The GV/e-Pay can be clubbed with the existing offers. GV/e-Pay can be used for all purchases of products and services.
Columbia Sportswear,columbia-sportswear,OFF,11,11,13,13,11,500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Offline,,"Columbia Sports GV(Gift Voucher)/e-Pay, and can be redeemed at all the listed retail outlets of Columbia Sports. The GV/e-Pay can be clubbed with any one of the existing offers. The GV can be converted into e-Pay as per the holder's convenience. Multiple GV/GCs can be combined and added to the e-Pay balance."
Minus30,minus30,ON,15,15,17,17,15,50 / 250 / 500 / 1000 / 2000 / 2500 / 100-10000 (custom),Online,,The Gift Voucher/e-Pay would only be accepted on the Minus 30 website at https://minus30.co/. Multiple GV/GCs can be combined and added to the e-Pay balance. The GV/e-Pay can be clubbed with the existing offers on the website. You can either use GV/e-Pay or a promo code at once.
Pronto,pronto,ON,12,12,14,14,,100 / 250 / 500 / 750 / 1000 / 1500 / 2000 / 100-10000 (custom),Online,,Pronto GV (Gift Voucher)/e-Pay that will be accepted on the Pronto App. GV/e-Pay cannot be clubbed with the existing offers. Partial activation isn’t allowed. This GV/e-Pay can be used only once and cannot be reloaded or revalidated. GV can be converted into e-Pay as per the holder's convenience.
Cordelia,cordelia,ON,11,11,13,13,,1000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,,Gift Vouchers/e-Pay CAN only be used on the Cordelia website. Gift Vouchers/e-Pay CAN be clubbed with existing offers. Gift Voucher CAN be used multiple times once converted to e-Pay balance. Multiple Gift Vouchers CAN be combined & added to e-Pay balance.
KALKI,kalki,B,11,11,13,13,11,500 / 1000 / 2000 / 2500 / 5000 / 100-10000 (custom),Both,,
Porter Packers and Movers,porter,ON,9,9,11,11,,1000 / 2500 / 5000 / 10000,Online,,Gift Vouchers CAN be used on the Porter app. Gift Vouchers CAN be used only to book Packers & Movers services. Gift Vouchers CANNOT be clubbed with offers. Gift Voucher CANNOT be used multiple times. Multiple Vouchers CANNOT be used in a single booking.
Roblox Gift Card,roblox-gift-card,ON,2,2,4,4,,950 / 2375,Online,,"Gift Voucher is redeemable only on www.roblox.com/redeem. Gift Vouchers CAN be clubbed with the existing offers. Multiple Gift Vouchers CAN be clubbed. (Roblox Credit). Gift Voucher balance CAN be used partially, once converted into Roblox Credits."
Steam Gift Card,steam-gift-card,ON,1.5,1.5,2,2,,,Online,,"Gift Voucher is redeemable only at store.steampowered.com/games. Gift Vouchers CANNOT be clubbed with the existing offers. Multiple GV/GC can be clubbed into Steam Wallet. Gift Voucher balance CAN be used partially, once added to Steam wallet. Gift Voucher must be activated via the Internet by registering for a Steam account and accepting the SSA."
Adventra,adventra,ON,13,13,15,15,,1000 / 2000 / 5000 / 100-10000 (custom),Online,,Gift Vouchers/e-Pay CAN be used on the Adventra website only. Gift Vouchers/e-Pay CAN be used to buy discounted products. Gift Voucher CAN be used multiple times once converted to e-Pay balance. Multiple Gift Vouchers CAN be combined & added to e-Pay balance.
Nautica,nautica,OFF,1.5,1.5,3.5,3.5,,250 / 500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Offline,,
Valorant Gift Card,valorant-gift-card,ON,1.5,1.5,3,3,,475 / 950,Online,,
Air India Fly Rajasthan,air-india-fly-rajasthan,OFF,8,8,10,10,,1000 / 2000 / 5000 / 7500 / 10000,Offline,,
Air India Add-ons,air-india-add-ons,OFF,8,8,10,10,,500 / 1000 / 1500 / 2000,Offline,,
