Brand Group,Product Name,Maximize ID,URL,Status,Redemption Type,Denominations,Custom Amount,Custom Range,Qty Cap/Order,Discount (UPI),Discount (Debit Card),Discount (Credit Card),Discount (CC on UPI),Discount (Diners Club),Discount (Amex),Best Method,Best Discount %,Multi-Use,Can Club w/ Offers,Cards Stackable,Validity,How To Redeem,Terms & Conditions,Last Scraped
TA iServeU Gift Card - Limited Variant,TA iServeU Gift Card - Limited Variant,967,https://www.maximize.money/gift-cards/TA iServeU Gift Card - Limited Variant/967,active,Online,100 / 250 / 500 / 1000 / 1500 / 2000 / 5000 / 10000 / 100,Yes,100-10000,,1.25% off / 1.25% earn,,,,,,UPI,1.25,No,Yes,No,Valid for upto 12 months,"Redeemeable on select categories https://www.maximize.money/terms-and-conditions#iserveu-limited-variant-tnc | Click the voucher link available in your profile, email, or SMS. | Enter your registered mobile number and verify using the OTP sent to your number. | Once verified, you can access your card details. | The IserveU RuPay E-Gift Card can be used for online payments on websites that accept RuPay cards.","This E-Gift Card can be used only for online transactions on platforms accepting RuPay cards, except restricted merchant categories as defined by iServeU. https://www.maximize.money/terms-and-conditions#iserveu-limited-variant-tnc | The card cannot be used to purchase other gift cards. | The card is valid for up to 1 years from the date of issuance or until the expiry date mentioned. No extension or replacement after card is expired. | The card is non-reloadable, non-transferable, and cannot be resold, exchanged for cash, or redeemed for cash. Cash withdrawal is not permitted. | In case incorrect or incomplete user details are provided, iServeU and Maximize reserves the right to cancel the card and forfeit the balance without any liability. | All applicable fees, charges, and taxes shall be borne by the cardholder. Any surcharge applicable on transactions will be deducted from the available balance. Transactions will be declined if sufficient balance is not available. | Any request for change in cardholder details cannot be fulfilled. | The E-Gift Card is issued in the form of a secure URL and can be accessed using an OTP sent to the registered mobile number. Each access attempt will require OTP authentication. | OTP is valid for 5 minutes. Entering incorrect OTP 3 consecutive times or requesting OTP more than 5 times will result in temporary blocking for 15 minutes. | The card does not support PIN-based transactions and is enabled only for OTP-based online transactions. | Balance enquiry and transaction details can be accessed through the url provided. | The card will be issued instantly usually but may take upto 3 working days in some cases. | Once issued, the E-Gift Card cannot be cancelled, returned, or refunded. | iServeU and Maximize does not provide any warranties, express or implied, including but not limited to merchantability or fitness for a particular purpose. | iServeU and Maximize shall not be liable for any misuse, loss, or unauthorized transactions involving the card. | The Purchaser shall indemnify, defend and hold harmless iServeU and Maximize, including their affiliates, directors, officers, employees and agents, from and against any and all third-party claims, liabilities, losses, damages, costs and expenses, including reasonable legal fees, arising out of or in connection with any breach of these terms, or any negligence, wilful misconduct or fraud by the Purchaser or its employees or agents. | All disputes related to the E-Gift Card shall be subject to the laws of India and handled under the jurisdiction determined by iServeU and Maximize. | By purchasing or using the iServeU E-Gift Card, the user agrees to be bound by these Terms & Conditions. | For detailed terms and conditions, please refer to the full Terms available at https://www.maximize.money/terms-and-conditions#iserveu-limited-variant-tnc",2026-07-26
William Penn,William Penn,705,https://www.maximize.money/gift-cards/William Penn/705,active,In-store,500 / 1000 / 2000 / 5000 / 10000,No,,4,6.75% off / 7.0% earn,5.5% off / 5.75% earn,4.85% off / 5.1% earn,4.4% off / 4.65% earn,4.5% off / 4.75% earn,4.5% off / 4.75% earn,UPI,6.75,No,Yes,Yes,Valid for upto 6 months,"Use the outlet locator to find the nearest listed William Penn store that accepts the Gift Voucher. | Visit the store and select your desired product(s). | At billing, share your Gift Voucher code with the cashier. | Pay the remaining balance (if any) using cash or card.","William Penn Insta Gift Voucher (GV) / Gift Card (GC) is accepted at listed outlets only (not valid at airport stores). For outlet list visit https://www.gyftr.com/william-penn. | The holder of the GV/GC code is the beneficiary and must inform the cashier about usage before billing. | Acceptance of GV/GC is at the discretion of listed outlets; outlets may be added/removed without notice. | Multiple GV/GCs can be used in one bill, but each GV/GC is valid for one-time use only. | No cash redemption, credit note, or refund will be given against the GV/GC. | Any unused balance remains in the EPay account until exhaustion or expiry. | GV/GC can be redeemed during sales but not on specific block-out dates (which may change at William Penn’s discretion). | William Penn will try to honor GV/GCs, but acceptance may be refused due to technical/administrative issues. | If a GV/GC gets blocked due to technical reasons, it will be re-enabled within 72 hours. | For issues, contact the William Penn store manager.",2026-07-26
SuperBottoms,SuperBottoms,890,https://www.maximize.money/gift-cards/SuperBottoms/890,active,Online,1000,No,,4,14.0% off / 14.1% earn,12.75% off / 12.85% earn,12.1% off / 12.2% earn,11.65% off / 11.75% earn,11.75% off / 11.85% earn,11.75% off / 11.85% earn,UPI,14.0,No,Yes,No,Valid upto 6 Months from purchase,"Log in to the SuperBottoms website | Add your favourite products to the cart | Enter your contact details and mention the gift card details in the gift card box, then proceed to checkout","This is a SuperBottoms Insta Gift Voucher and is accepted only at https://superbottoms.com/ | The person holding the SuperBottoms GV code is deemed to be the beneficiary | Each gift card has a unique code which must be entered at checkout for redemption | Multiple gift vouchers cannot be used in a single purchase | This is a one-time use voucher | No credit note or refund will be issued for any unused amount | Gift Voucher cannot be revalidated once expired | Gift Card cannot be used with Cash on Delivery option | If the order value exceeds the gift card amount, the balance must be paid using another payment method | Gift Card is not replaceable if lost or stolen | Gift Cards can be used during sale | Any dispute shall be referred to the issuing company, whose decision shall be final",2026-07-26
Pepperfry,Pepperfry,443,https://www.maximize.money/gift-cards/Pepperfry/443,active,Online,200 / 500 / 1000 / 2000 / 5000 / 10000,Yes,100-10000,4,6.75% off / 6.9% earn,5.5% off / 5.65% earn,4.85% off / 5.0% earn,4.4% off / 4.55% earn,4.5% off / 4.65% earn,4.5% off / 4.65% earn,UPI,6.75,Yes,Yes,No,Valid for upto 12 months,"Online Redemption | Visit Pepperfry.com or the Pepperfry App. | Select the items of your choice and proceed to checkout. | Choose Gift Card as the payment method. | Enter the Gift Card details to redeem. | Pay the remaining balance, if any, using other available payment modes. | Offline Redemption | Visit a Pepperfry store outlet near you. | Select the products you wish to purchase. | Confirm with the store if Gift Card acceptance is available. | Share / show your Gift Card details to the cashier at the time of billing. | The cashier will apply the Gift Card to your purchase. | Pay the balance amount, if any, using cash, card, or other available payment methods.","Pepperfry Gift Cards (GCs / eGCs) are issued by Pine Labs Limited (formerly Pine Labs Private Limited), a company incorporated under the laws of India and authorized by the Reserve Bank of India (RBI) to issue such Gift Cards. | Pepperfry Gift Cards can be used for purchases on https://www.pepperfry.com | , Pepperfry mobile application, and Pepperfry offline stores, subject to acceptance and technical availability. | Pepperfry Gift Cards are valid for 1 year from the date of issue. | Gift Cards can be redeemed by selecting the payment option “Pepperfry Gift Card” at checkout. | No cash withdrawal is permitted against the Gift Card, and it cannot be used to purchase other Pepperfry Gift Cards. | Partial redemption is allowed, and the remaining balance will continue to remain on the same Gift Card for future use within its validity. | A maximum of 5 Gift Cards can be used in a single transaction, and Pepperfry reserves the right to revise this limit at its discretion. | If the order value exceeds the Gift Card amount, the balance must be paid using Credit Card, Debit Card, Internet Banking, or Wallets. Payment modes such as Cash Pay, Part Pay, or COD cannot be used to pay the remaining amount. | If the order value is less than the Gift Card value, the remaining balance will stay on the Gift Card and can be used for subsequent transactions. | In case an order is cancelled within the applicable cancellation policy timeline, the amount paid via Gift Card will be refunded to the Pepperfry Wallet. | Once the Gift Card details are shared with you, you are responsible for keeping the Gift Card number and PIN confidential. In case of misuse due to loss of such details, Pine Labs, Pepperfry (Trendsutra Platform Services Private Limited), or their affiliates shall not be responsible, and no refund will be issued. | Pepperfry or Pine Labs reserves the right to cancel Gift Cards if found to be purchased through fraudulent means. In such cases, funds may be credited back to the original payment source. | If the KYC details of the purchaser or redeemer are found incorrect or insufficient as per RBI guidelines, Pepperfry or Pine Labs reserves the right to cancel the Gift Card. | Pepperfry Gift Cards are prepaid payment instruments regulated by RBI, and Pine Labs / Pepperfry may share KYC or transaction-related details with RBI or other statutory authorities. Users may be contacted for verification purposes. | The purchasing company or user must ensure that passwords and Gift Card PINs are kept strictly confidential and not shared with any unauthorized person. | For detailed terms, users can refer to: | https://www.pinelabs.com/terms-and-conditions/prepaid-instruments/branded-gift-cards/pepperfry | Once purchased, the Gift Card cannot be cancelled, refunded, returned, or redeemed for cash or credit, except where required by law. Any cancellation shall be at the sole discretion of Pepperfry / Pine Labs. | No fees or charges apply to Pepperfry Gift Cards. | Users may be required to add the Gift Card value to their Pepperfry Wallet or user account as a pre-requisite for redemption. This action shall be considered as user registration. | Pepperfry will honour requests for blocking Gift Cards only from registered users. | For dispute resolution, unauthorized transactions, and liability-related aspects, refer to: | https://www.pinelabs.com/grievance-policy | Cardholders may request revalidation of expired Gift Cards, subject to verification and additional applicable terms. | E-Gift Cards are usually delivered instantly, but in some cases, delivery may take up to 24–48 hours due to system issues.",2026-07-26
Shoppers Stop,Shoppers Stop,777,https://www.maximize.money/gift-cards/Shoppers Stop/777,active,Online + In-store,500 / 1000 / 2000 / 3000 / 5000 / 7500 / 10000,No,,4,,,,,,,,,Yes,No,Yes,Valid for upto 12 months,Visit the outlet near you. | Before making the purchase confirm about the acceptance of Gift Card at the store. | Choose the products you would like to buy. | Show your Gift Card details to the cashier at the time of billing & pay any balance amount by cash or card.,"Valid for 1 year from issue date. | Part use allowed — remaining amount will be given as a credit note. | Redeemable at Shoppers Stop, Airport Stores, HomeStop, and Shoppers Stop website. | Not redeemable for cash or exchangeable for other gift cards. | Not valid for Mobiles, Mobile Accessories, Cameras, MP3 players, Laptops, 22K & 24K Gold Jewellery, and Gold Coins. | If bill value is higher than voucher value, pay the extra by Cash / Debit / Credit Card. | Customer is responsible for safe custody of the voucher. | No duplicate voucher will be issued. | For balance & expiry: SMS GCBAL<16-digit code> to 56161. | Delivery is usually instant but may take 24–48 hours due to system delay. | Shoppers Stop may change T&Cs anytime; disputes under Mumbai jurisdiction.",2026-07-26
Pixel Go,Pixel Go,664,https://www.maximize.money/gift-cards/Pixel Go/664,active,Online,999,No,,4,14.75% off / 16.75% earn,13.5% off / 15.5% earn,12.85% off / 14.85% earn,12.4% off / 14.4% earn,12.5% off / 14.5% earn,12.5% off / 14.5% earn,UPI,14.75,No,No,No,Valid for upto 6 months,"Download Pixel Go AI from Google Play or Apple App Store. | Go to the Product tab in the app and select the yearly plan. | On the Payment screen, enter your exclusive coupon code to activate the product and enjoy full access.","Pixel Go Gift Voucher/Gift Card (GV/GC) can only be used on their app. | The person holding the GV/GC is considered the beneficiary. | Pixel Go is not responsible if the GV/GC is lost, stolen, or used without permission. | A single GV/GC can be used in one bill/transaction only. | This is a one-time use GV/GC with an expiration date. | No credit note or refund will be given for any unused balance. | Any unused balance will automatically lapse. | GV/GC cannot be revalidated once expired or canceled. | GV/GC cannot be combined with any other ongoing offers on the Pixel Go website. | GV/GC cannot be redeemed on block-out dates announced by Pixel Go. Dates may change without prior notice. | Disputes must be referred to the issuing company; decisions are final. Legal jurisdiction: Delhi courts. | Pixel Go will try to accept GV/GC, but is not liable if technical issues prevent redemption. | If GV/GC is blocked due to a technical issue, it will be re-enabled within 72 hours. Refunds for failed transactions will be processed within 48 hours. | Pixel Go may change terms and conditions anytime without notice. | Pixel Go may withdraw the GV/GC scheme before the validity period ends without notice. | Pixel Go can deny GV/GC if it suspects duplicity of cards. | Pixel Go’s liability will not exceed the GV/GC value in dispute. | For queries/issues, contact support@pixelgo.com",2026-07-26
The Postcard Hotels,The Postcard Hotels,1100,https://www.maximize.money/gift-cards/The Postcard Hotels/1100,active,In-store,5000,Yes,3000-5000,4,10.0% off / 10.25% earn,8.75% off / 9.0% earn,8.1% off / 8.35% earn,7.65% off / 7.9% earn,7.75% off / 8.0% earn,7.75% off / 8.0% earn,UPI,10.0,Yes,No,No,Valid upto 12 Months from purchase,"Visit The Postcard Hotels & Resorts website or contact Central Reservations. | For prepaid room bookings, provide your Gift Card Number and PIN while making the reservation. | Ensure the Gift Card has sufficient balance to complete the booking. If required, reload the card before confirming the reservation. | At the hotel, present the original Gift Card email or Gift Card details during check-in/check-out or while availing hotel services. | If your bill exceeds the Gift Card balance, pay the remaining amount using another accepted payment method.","Valid at The Postcard Hotels & Resorts in India only. | Can be used for room stays, dining, spa services, hotel-operated services, and applicable taxes. | Not valid for third-party services or personal expenses (such as medicines or personal repairs). | Valid for 365 days from the date of issue. | Gift Card can be reloaded until expiry (subject to applicable limits). | Multiple transactions are allowed until the Gift Card balance is exhausted. | If the bill exceeds the Gift Card balance, the remaining amount must be paid separately. | A valid Gift Card or original Gift Card email must be presented at the time of redemption. | Gift Card cannot be redeemed for cash. | No refund, cancellation, or replacement is allowed for lost, stolen, or damaged Gift Cards. | Gift Card is a bearer instrument. Anyone possessing the card can redeem it. | Standard cancellation policies apply for hotel reservations. | The company reserves the right to modify the terms and conditions without prior notice. | Any disputes shall be subject to the jurisdiction of Delhi courts.",2026-07-26
AppyHigh Prime,AppyHigh Prime,491,https://www.maximize.money/gift-cards/AppyHigh Prime/491,active,Online,2999,No,,4,17.0% off / 17.5% earn,15.75% off / 16.25% earn,15.1% off / 15.6% earn,14.65% off / 15.15% earn,14.75% off / 15.25% earn,14.75% off / 15.25% earn,UPI,17.0,No,No,No,Valid for upto 6 months,Go to: in.appyhigh.com | Sign in with email → Click “Get AppyHigh Prime” → Go to Coupons and Offers → Enter voucher code and apply | Subscription activated! Email confirmation sent with app coupon codes | Download bundled apps and enjoy unlimited access,"GV/GC can be used only on in.appyhigh.com. | Beneficiary is the person who holds the GV/GC. | Not valid if lost, stolen, or used without permission. | Only one GV/GC per transaction. | One-time use only; balance cannot be refunded. | Unused amount lapses automatically after use. | Cannot be revalidated once expired or cancelled. | Cannot be combined with other offers on the website. | Block-out dates may apply, updated by AppyHigh. | Disputes are subject to Delhi jurisdiction. | Technical issues may delay acceptance; re-enables in 72 hours. | In case of transaction failure, refund goes back to the same GV/GC within 48 hours. | AppyHigh reserves the right to edit, cancel, or deny the GV/GC without prior notice. | Max liability is limited to the face value of the GV/GC. | Support: support@appyhigh.com or https://www.gvhelpdesk.com",2026-07-26
CALL IT SPRING,CALL IT SPRING,310,https://www.maximize.money/gift-cards/CALL IT SPRING/310,active,In-store,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000,Yes,100-10000,4,11.75% off / 12.25% earn,10.5% off / 11.0% earn,9.85% off / 10.35% earn,9.4% off / 9.9% earn,9.5% off / 10.0% earn,9.5% off / 10.0% earn,UPI,11.75,Yes,Yes,Yes,Valid for upto 6 months,Check the outlet locator for a store nearby you that accepts the Gift Voucher. | Choose your product. | Share your Gift Voucher at the time of billing & pay rest by cash or card if required.,"This Gift Voucher (GV)/e-Pay and would be accepted at Aldo, Charles & Keith, Call it Spring, Beverly Hills Polo Club, Inglot, Victoria's Secret, Victoria's Secret beauty , Bath & Body works & R&B stores only. | The holder of the GV/e-Pay is deemed to be the beneficiary. | The GV can be converted into e-Pay, as per convenience of the holder. | Multiple GVs can be clubbed and added to a e-Pay balance. | Only valid GVs/e-Pay, at the sole discretion of Apparel group, shall be accepted for redemption. | The e-Pay balance must be linked to the registered mobile number. | The e-Pay cannot be transferred to another e-Pay account, exchanged for cash, or any other form of currency. | GV/e-Pay cannot be revalidated once it expires. | Apparel group, GyFTR, or its affiliates shall not be responsible if the beneficiary shares the GV number or account credentials resulting in unauthorized use of the GV/e-Pay balance. | In case of a technical issue leading to the blockage of GV/e-Pay, it shall be reactivated within 72 hours. | Any dispute should be referred to the company from where the GV/e-Pay has been received, and the company's decision shall be final. | Apparel group or GyFTR may terminate or suspend Apparel group GV/e-Pay if any fraudulent or unauthorized activities are detected. | Apparel group or GyFTR reserves the right to modify or update the terms and conditions of the Apparel group GV/e-Pay at any time. | For any queries/issues related to GV/e-Pay, please raise a request at https://www.gvhelpdesk.com",2026-07-26
Hopscotch,Hopscotch,1076,https://www.maximize.money/gift-cards/Hopscotch/1076,active,Online,2000 / 5000 / 10000 / 20000,Yes,1000-25000,4,,,,,,,,,Yes,Yes,No,Valid upto 12 Months from purchase,"Visit Hopscotch.in and select your desired products. | Add items to your cart and proceed to checkout. | Choose Gift Card as the payment option. | Enter your Gift Card number and PIN. | Apply the Gift Card balance to your purchase. | Pay any remaining amount using other available payment methods, if required. | Complete your order successfully.","The E-Gift Card is redeemable only on Hopscotch.in. | Valid for 12 months from the date of activation. | The Gift Card cannot be used to purchase other Gift Cards. | The Gift Card is not redeemable for cash, credit, or refunds. | Partial redemption is allowed and the remaining balance can be used for future purchases until expiry. | If the order value exceeds the Gift Card balance, the remaining amount must be paid using another payment method. | In case of order cancellation or return, the refunded amount will be credited back to the same Gift Card. | Gift Cards are non-transferable and cannot be reloaded. | Hopscotch is not responsible for lost, stolen, or unauthorized use of Gift Cards. | Gift Cards purchased fraudulently may be cancelled without notice. | Gift Card delivery is generally instant but may take up to 24–48 hours due to technical reasons. | No cancellation or refund is allowed once a Gift Card has been purchased. | All disputes are subject to the jurisdiction of courts in Mumbai. | For assistance, contact +91 2242988600 or email wecare@hopscotch.in.",2026-07-26
Zepto,Zepto,205,https://www.maximize.money/gift-cards/Zepto/205,active,Online,100 / 250 / 500 / 1000 / 2000,Yes,100-10000,4,1.25% off / 1.4% earn,,,,,,UPI,1.25,Yes,No,No,Valid for upto 12 months,"Ensure you have Zepto app version 24.10.3 or above. | Login to the Zepto app or visit https://www.zeptonow.com. | Go to My Profile / Settings > Zepto Cash & Gift Card. | Click on “Add Card”. | Enter the 16-digit Card Number and 6-digit PIN, then submit. | You can use the balance during checkout; if the order value exceeds the card value, pay the remaining via other payment modes.","This Gift Card is issued by Pine Labs Limited (formerly Pine Labs Private Limited) and is usable only on Zepto under the name “Zepto Gift Card”. This Gift Card Agreement is between the purchaser and/or redeemer (“you”) and Pine Labs Limited (“Issuer”), a company incorporated under the laws of India and authorized by the Reserve Bank of India (RBI) to issue such Gift Cards. | You can view your Gift Card transaction statement at https://bit.ly/zeptoclaim | . By purchasing and/or redeeming the Gift Card, you agree to the following terms and conditions. | You must have an active and valid Zepto account to redeem the Gift Card. Gift Cards may be purchased online from authorized distributors using only credit card, debit card, or internet banking provided by banks in India. You will be able to redeem the Gift Card only after providing or updating valid name, surname, and mobile number with Zepto. | The Gift Card cannot be used outside India and is valid for 12 months from the date of activation. The cardholder may request revalidation of an expired Gift Card, subject to verification and additional applicable terms. | Gift Cards can be redeemed online only on https://www.zeptonow.com | or via the Zepto mobile application. To redeem, log in to the Zepto platform, go to My Profile / Settings, navigate to Zepto Cash & Gift Card, click on “Add Card”, enter the 16-digit card number and 6-digit PIN, and submit. For balance enquiry, visit the payments section in the app. | Limits may apply to redemption or usage of the Gift Card. If you have multiple payment methods in your Zepto account, the Gift Card value may be set as the default payment option. You can change the payment method from the payment section before completing the transaction. | The Gift Card cannot be reloaded with additional funds after purchase. Once purchased, the Gift Card cannot be cancelled, refunded, transferred, returned, or redeemed for cash or credit, except where required by law. Gift Cards cannot be resold, and cannot be used to purchase other Gift Cards or to make payments on a credit account. | Any cancellations are at the sole discretion of Zepto/Pine Labs. The Gift Card balance cannot be transferred to any other instrument, and purchases made using Gift Card value are not refundable, except where required by law. | Issuer assumes no responsibility for products purchased using the Gift Card and disclaims all related liability. You are solely responsible for the safety and confidentiality of the Gift Card number and PIN. Issuer or Zepto shall not be liable if the Gift Card is lost, stolen, or used without permission. | If a Gift Card is found non-functional, the sole remedy (and Pine Labs’ / Zepto’s only potential liability) shall be replacement of the Gift Card. Issuer reserves the right to void or block the Gift Card if fraud, unlawful use, or violation of terms is suspected. In such cases, funds may be credited back to the original payment source. | Redemption of the Gift Card is also subject to the Terms of Use governing your Zepto account. Gift Cards are prepaid payment instruments regulated by RBI, and the Issuer may be required to share KYC or transaction details with RBI or other statutory authorities. Zepto or Pine Labs may contact you for such information. If KYC details are found incorrect or insufficient, the Gift Card may be blocked or cancelled. | If the order value exceeds the Gift Card balance, the remaining amount must be paid using other valid payment methods such as credit card, debit card, internet banking, UPI, or other available options. If the order value is less than the Gift Card amount, the remaining balance can be used for future transactions within the validity period. | The maximum value per Gift Card is INR 10,000, and the aggregate monthly value per user shall not exceed INR 5,00,000. Gift Cards may not be usable for certain product categories such as tobacco, precious metals, or other restricted categories as determined by Zepto or its sellers. Zepto may also impose purchase or redemption restrictions on certain users or user groups for platform safety and integrity. | If any term of this Agreement is deemed invalid or unenforceable, it shall be considered severable and will not affect the validity of the remaining terms. | For customer support, contact support@zeptonow.com | . Users must add the Gift Card to their Zepto account as a pre-requisite for redemption, and requests for blocking Gift Cards will be honoured only from registered users. For dispute resolution, unauthorized transactions, and liability-related aspects, refer to the Customer Grievance Policy at https://www.pinelabs.com/grievance-policy | . | This Agreement shall be governed by the laws of India, and courts in Bangalore shall have exclusive jurisdiction over any disputes related to the Gift Card, including acquisition, redemption, balance, promotions, or related representations. This governing law provision shall survive termination, bankruptcy, transfer, or assignment of the Gift Card. | Users may change the language preference for SMS transaction alerts by writing to gcsupport.woohoo@pinelabs.com | , mentioning the registered mobile number and preferred language (Hindi, Telugu, Tamil, Kannada, Marathi, Bengali, Gujarati, Odia, Punjabi, Malayalam, or Assamese). Pine Labs may take up to 15 working days to update the preference, after which all future SMS alerts will be sent in the selected language. | E-Gift Cards are generally delivered instantly, but delivery may take up to 24 hours. No returns or refunds are applicable on Gift Cards, E-Gift Cards, or gift vouchers shipped by woohoo.in. For more details, refer to https://www.woohoo.in/faq",2026-07-26
Hush Puppies,Hush Puppies,529,https://www.maximize.money/gift-cards/Hush Puppies/529,active,In-store,3000 / 4000 / 5000 / 6000 / 7000 / 7500,Yes,,4,7.0% off / 9.25% earn,5.75% off / 8.0% earn,5.1% off / 7.35% earn,4.65% off / 6.9% earn,4.75% off / 7.0% earn,4.75% off / 7.0% earn,UPI,7.0,No,Yes,Yes,Valid for upto 6 months,"Use outlet locator to find a store that accepts the GV. Store Locator link - https://www.gyftr.com/hush-puppies | Select your product. | At checkout, share your GV code with the cashier. Pay any remaining amount by cash/card.","This is a Hush Puppies Insta Gift Voucher (GV) / Gift Card (GC) valid at listed outlets only (check https://www.gyftr.com/hush-puppies for outlet list). | The person holding the GV/GC is considered the beneficiary. | Inform the cashier before billing that you intend to use the GV/GC. | Redemption is allowed only at listed outlets (outlets may be added or removed without notice). | Up to 7 GVs/GCs can be used in one bill. | This is a one-time use voucher. | No refunds or credit notes for unused balance. | Vouchers cannot be revalidated once expired. | GVs/GCs can be used during sale periods. | Vouchers may not be accepted on specific block-out dates (subject to brand discretion). | In case of technical issues, blocked GVs/GCs will be re-enabled within 72 hours. | Any disputes will be resolved by the issuing company, and their decision will be final. | For assistance, visit https://www.gvhelpdesk.com.",2026-07-26
Starbucks,Starbucks,910,https://www.maximize.money/gift-cards/Starbucks/910,active,In-store,250 / 500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000,No,,4,7.25% off / 7.5% earn,6.0% off / 6.25% earn,5.35% off / 5.6% earn,4.9% off / 5.15% earn,5.0% off / 5.25% earn,5.0% off / 5.25% earn,UPI,7.25,No,No,No,Valid for upto 12 months,"Download the Starbucks India mobile app from App store or Play store | Register for a new My Starbucks Rewards account or Sign-in with your existing details of My Starbucks Rewards account | On the ‘Add a Card’ screen, enter your 14 digit Starbucks gift card number (no spaces) followed by 4 digit CSC code (no spaces). | Your Starbucks eGift Card is ready for use, Tap on ‘Pay’ section and scan the barcode on the mobile app at any Starbucks store to redeem your eGift card","The Starbucks eGift Card is valid for 1 year from the date of purchase. | It can be redeemed only via the Starbucks India mobile app at all Starbucks stores in India. | Redemption is subject to the Starbucks India app and Rewards program terms. | The eGift Card is non-refundable, non-returnable, and cannot be cancelled once purchased. | The card cannot be reloaded, transferred, or redeemed for cash or credit. | Resale of Starbucks eGift Cards is strictly prohibited. | The card balance cannot be transferred to another card or payment instrument. | The customer is responsible for keeping the 14-digit card number and 4-digit CVV secure. | Starbucks India / Issuer is not responsible for lost, stolen, or unauthorized use of the card. | Purchases made using the eGift Card are non-refundable, except where required by law. | Starbucks India reserves the right to suspend or cancel the eGift Card in case of suspected misuse or fraud. | All disputes are governed by Indian law and subject to Mumbai jurisdiction. | Starbucks India may modify these terms at any time; updated terms will be available on https://www.starbucks.in .",2026-07-26
Starbucks,Starbucks,321,https://www.maximize.money/gift-cards/Starbucks/321,active,In-store,500 / 1000 / 2000,No,,4,8.75% off / 9.0% earn,7.5% off / 7.75% earn,6.85% off / 7.1% earn,6.4% off / 6.65% earn,6.5% off / 6.75% earn,6.5% off / 6.75% earn,UPI,8.75,No,No,No,Valid for upto 6 months,"Download the Starbucks app and navigate to the 'Pay' option in the sticky menu. Tap on 'Starbucks Pay' at the top of the page, then choose the 'Already have a Starbucks Card' option. | Choose the option to enter your card details manually, then input the card number and security code. | To place an order online, simply add the items to your cart. | Choose 'Pay with Starbucks Card' as your payment method. | To make a payment in-store, simply show the barcode to the cashier for scanning.","This is a Starbucks GV/GC (Gift Voucher/Gift Card) and it can only be redeemed via the Starbucks India mobile app across all Starbucks stores in India. All terms and conditions of the Starbucks India mobile app and Starbucks Rewards program shall apply upon signing up for the mobile app. | The holder of the GV/GC is deemed to be the beneficiary. | GV/GCs are non-refundable, may not be exchanged, transferred, or resold, and may not be redeemed for cash. | GyFTR/ Starbucks is not responsible for lost, damaged, or stolen GV/GCs. | The GV/GC cannot be reloaded with additional funds once purchased. | Multiple GV/GC cannot be used in one bill. | GyFTR/Starbucks India reserves the right to add, alter, amend, and revise the terms and conditions without prior notice, and without assigning any reasons thereof. In the event of such changes, the latest terms & conditions will be updated and can be viewed on our website https://www.starbucks.in. | GyFTR/Starbucks India reserves the right to suspend, block, or terminate the rights and privileges attached to the GV/GC if it has reasonable grounds to suspect fraudulent or unauthorized use. | All disputes in connection with the GV/GC or its program shall be governed and construed in accordance with Indian Laws and are subject to the exclusive jurisdiction of Competent Courts in Mumbai only. | For any queries/issues related to GV/GC, please contact Tata Starbucks Customer Care at 18602660010 (9 AM to 9 PM) or customercare@tatastarbucks.com or raise a request at https://www.gvhelpdesk.com.",2026-07-26
Aurelia,Aurelia,950,https://www.maximize.money/gift-cards/Aurelia/950,active,In-store,500 / 1000 / 2000 / 5000,Yes,250-5000,4,11.0% off / 11.25% earn,9.75% off / 10.0% earn,9.1% off / 9.35% earn,8.65% off / 8.9% earn,8.75% off / 9.0% earn,8.75% off / 9.0% earn,UPI,11.0,No,No,Yes,Valid upto 6 Months from purchase,Walk into an Aurelia Exclusive Brand Outlet | Select the merchandise you wish to purchase | Present the E-Gift Card number and PIN to the cashier at billing | Redeem the voucher in full in a single transaction | Collect your merchandise,"This E-Gift Voucher is valid only at Exclusive Brand Outlets | E-Gift Voucher cannot be redeemed for cash | E-Gift Voucher is valid for one transaction only and no store credit is allowed | Partial redemption is not allowed | If the purchase value exceeds the voucher value, the balance amount must be paid by the customer | If the purchase value is less than the voucher value, the remaining balance will not be refunded | Multiple E-Gift Vouchers can be used in one transaction | E-Gift Voucher is valid for 6 months from the date of issue | TCNS Clothing Co. Ltd reserves the right to modify terms and conditions at any time | All claims are subject to Delhi jurisdiction only | Terms and conditions are governed by the laws of India",2026-07-26
